trip_id,rider_usage_codes,count_code_0,count_code_2,count_code_3
10010007941112-JUNE23,['0'],1,0,0
10010007941141-JUNE23,['0'],1,0,0
10010007941210-JUNE23,['0'],1,0,0
10010007941240-JUNE23,['0'],1,0,0
10010007941310-JUNE23,['0'],1,0,0
10010007941340-JUNE23,['0'],1,0,0
10010007941410-JUNE23,['0'],1,0,0
10010007941437-JUNE23,['0'],1,0,0
10010007941459-JUNE23,['0'],1,0,0
10010007941536-JUNE23,['0'],1,0,0
10010007941602-JUNE23,['0'],1,0,0
10010007941630-JUNE23,['0'],1,0,0
10010007941708-JUNE23,['0'],1,0,0
10010007941737-JUNE23,['0'],1,0,0
10010007941818-JUNE23,['0'],1,0,0
10010007941858-JUNE23,['0'],1,0,0
10010007941940-JUNE23,['0'],1,0,0
10010007942037-JUNE23,['0'],1,0,0
10010008131940-JUNE23,['0'],1,0,0
10010008140605-JUNE23,['0'],1,0,0
10010008140642-JUNE23,['0'],1,0,0
10010008140738-JUNE23,['0'],1,0,0
10010008140808-JUNE23,['0'],1,0,0
10010008140837-JUNE23,['0'],1,0,0
10010008140907-JUNE23,['0'],1,0,0
10010008140937-JUNE23,['0'],1,0,0
10010008141005-JUNE23,['0'],1,0,0
10010008141035-JUNE23,['0'],1,0,0
10010008141104-JUNE23,['0'],1,0,0
10010008141134-JUNE23,['0'],1,0,0
10010008141203-JUNE23,['0'],1,0,0
10010008141300-JUNE23,['0'],1,0,0
10010008141330-JUNE23,['0'],1,0,0
10010008141356-JUNE23,['0'],1,0,0
10010008141421-JUNE23,['0'],1,0,0
10010008141452-JUNE23,['0'],1,0,0
10010008141519-JUNE23,['0'],1,0,0
10010008141548-JUNE23,['0'],1,0,0
10010008141647-JUNE23,['0'],1,0,0
10010008141728-JUNE23,['0'],1,0,0
10010008141809-JUNE23,['0'],1,0,0
10010008141859-JUNE23,['0'],1,0,0
10010008152120-JUNE23,['0'],1,0,0
10010008152221-JUNE23,['0'],1,0,0
10010008170400-JUNE23,['0'],1,0,0
10010008170530-JUNE23,['0'],1,0,0
10010008170716-JUNE23,['0'],1,0,0
10010008171236-JUNE23,['0'],1,0,0
10010008181613-JUNE23,['0'],1,0,0
10010008181625-JUNE23,['0'],1,0,0
10010008181700-JUNE23,['0'],1,0,0
10010008182426-JUNE23,['0'],1,0,0
10010008192326-JUNE23,['0'],1,0,0
10010008202014-JUNE23,['0'],1,0,0
10014005020430-JUNE23,['0'],1,0,0
10014005020502-JUNE23,['0'],1,0,0
10014005020525-JUNE23,['0'],1,0,0
10014005020533-JUNE23,['0'],1,0,0
10014005020543-JUNE23,['0'],1,0,0
10014005020552-JUNE23,['0'],1,0,0
10014005020558-JUNE23,['0'],1,0,0
10014005020607-JUNE23,['0'],1,0,0
10014005020618-JUNE23,['0'],1,0,0
10014005020627-JUNE23,['0'],1,0,0
10014005020636-JUNE23,['0'],1,0,0
10014005020645-JUNE23,['0'],1,0,0
10014005020653-JUNE23,['0'],1,0,0
10014005020703-JUNE23,['0'],1,0,0
10014005020713-JUNE23,['0'],1,0,0
10014005020722-JUNE23,['0'],1,0,0
10014005020732-JUNE23,['0'],1,0,0
10014005020743-JUNE23,['0'],1,0,0
10014005020752-JUNE23,['0'],1,0,0
10014005020804-JUNE23,['0'],1,0,0
10014005020817-JUNE23,['0'],1,0,0
10014005020832-JUNE23,['0'],1,0,0
10014005020847-JUNE23,['0'],1,0,0
10014005020901-JUNE23,['0'],1,0,0
10014005020916-JUNE23,['0'],1,0,0
10014005020931-JUNE23,['0'],1,0,0
10014005020946-JUNE23,['0'],1,0,0
10014005021001-JUNE23,['0'],1,0,0
10014005021016-JUNE23,['0'],1,0,0
10014005021031-JUNE23,['0'],1,0,0
10014005021046-JUNE23,['0'],1,0,0
10014005021101-JUNE23,['0'],1,0,0
10014005021116-JUNE23,['0'],1,0,0
10014005021131-JUNE23,['0'],1,0,0
10014005021146-JUNE23,['0'],1,0,0
10014005021201-JUNE23,['0'],1,0,0
10014005021216-JUNE23,['0'],1,0,0
10014005021231-JUNE23,['0'],1,0,0
10014005021245-JUNE23,['0'],1,0,0
10014005021300-JUNE23,['0'],1,0,0
10014005021314-JUNE23,['0'],1,0,0
10014005021329-JUNE23,['0'],1,0,0
10014005021344-JUNE23,['0'],1,0,0
10014005021359-JUNE23,['0'],1,0,0
10014005021412-JUNE23,['0'],1,0,0
10014005021422-JUNE23,['0'],1,0,0
10014005021433-JUNE23,['0'],1,0,0
10014005021443-JUNE23,['0'],1,0,0
10014005021453-JUNE23,['0'],1,0,0
10014005021501-JUNE23,['0'],1,0,0
10014005021510-JUNE23,['0'],1,0,0
10014005021520-JUNE23,['0'],1,0,0
10014005021530-JUNE23,['0'],1,0,0
10014005021540-JUNE23,['0'],1,0,0
10014005021550-JUNE23,['0'],1,0,0
10014005021558-JUNE23,['0'],1,0,0
10014005021608-JUNE23,['0'],1,0,0
10014005021618-JUNE23,['0'],1,0,0
10014005021628-JUNE23,['0'],1,0,0
10014005021638-JUNE23,['0'],1,0,0
10014005021648-JUNE23,['0'],1,0,0
10014005021658-JUNE23,['0'],1,0,0
10014005021709-JUNE23,['0'],1,0,0
10014005021721-JUNE23,['0'],1,0,0
10014005021733-JUNE23,['0'],1,0,0
10014005021751-JUNE23,['0'],1,0,0
10014005021824-JUNE23,['0'],1,0,0
10014005021900-JUNE23,['0'],1,0,0
10014005021931-JUNE23,['0'],1,0,0
10014005042029-JUNE23,['0'],1,0,0
10014005042132-JUNE23,['0'],1,0,0
10014005042235-JUNE23,['0'],1,0,0
10014005042337-JUNE23,['0'],1,0,0
10014005050337-JUNE23,['0'],1,0,0
10014005052437-JUNE23,['0'],1,0,0
10014005052537-JUNE23,['0'],1,0,0
10014005052637-JUNE23,['0'],1,0,0
10014005080513-JUNE23,['0'],1,0,0
10014005080531-JUNE23,['0'],1,0,0
10014005080546-JUNE23,['0'],1,0,0
10014005080557-JUNE23,['0'],1,0,0
10014005080606-JUNE23,['0'],1,0,0
10014005080616-JUNE23,['0'],1,0,0
10014005080628-JUNE23,['0'],1,0,0
10014005080637-JUNE23,['0'],1,0,0
10014005080646-JUNE23,['0'],1,0,0
10014005080654-JUNE23,['0'],1,0,0
10014005080702-JUNE23,['0'],1,0,0
10014005080711-JUNE23,['0'],1,0,0
10014005080720-JUNE23,['0'],1,0,0
10014005080725-JUNE23,['0'],1,0,0
10014005080731-JUNE23,['0'],1,0,0
10014005080740-JUNE23,['0'],1,0,0
10014005080752-JUNE23,['0'],1,0,0
10014005080805-JUNE23,['0'],1,0,0
10014005080818-JUNE23,['0'],1,0,0
10014005080831-JUNE23,['0'],1,0,0
10014005080844-JUNE23,['0'],1,0,0
10014005080858-JUNE23,['0'],1,0,0
10014005080912-JUNE23,['0'],1,0,0
10014005080926-JUNE23,['0'],1,0,0
10014005080941-JUNE23,['0'],1,0,0
10014005080956-JUNE23,['0'],1,0,0
10014005081010-JUNE23,['0'],1,0,0
10014005081024-JUNE23,['0'],1,0,0
10014005081039-JUNE23,['0'],1,0,0
10014005081053-JUNE23,['0'],1,0,0
10014005081108-JUNE23,['0'],1,0,0
10014005081122-JUNE23,['0'],1,0,0
10014005081136-JUNE23,['0'],1,0,0
10014005081151-JUNE23,['0'],1,0,0
10014005081205-JUNE23,['0'],1,0,0
10014005081220-JUNE23,['0'],1,0,0
10014005081235-JUNE23,['0'],1,0,0
10014005081249-JUNE23,['0'],1,0,0
10014005081304-JUNE23,['0'],1,0,0
10014005081319-JUNE23,['0'],1,0,0
10014005081332-JUNE23,['0'],1,0,0
10014005081346-JUNE23,['0'],1,0,0
10014005081359-JUNE23,['0'],1,0,0
10014005081410-JUNE23,['0'],1,0,0
10014005081420-JUNE23,['0'],1,0,0
10014005081429-JUNE23,['0'],1,0,0
10014005081439-JUNE23,['0'],1,0,0
10014005081449-JUNE23,['0'],1,0,0
10014005081457-JUNE23,['0'],1,0,0
10014005081507-JUNE23,['0'],1,0,0
10014005081517-JUNE23,['0'],1,0,0
10014005081526-JUNE23,['0'],1,0,0
10014005081536-JUNE23,['0'],1,0,0
10014005081546-JUNE23,['0'],1,0,0
10014005081556-JUNE23,['0'],1,0,0
10014005081606-JUNE23,['0'],1,0,0
10014005081616-JUNE23,['0'],1,0,0
10014005081626-JUNE23,['0'],1,0,0
10014005081636-JUNE23,['0'],1,0,0
10014005081646-JUNE23,['0'],1,0,0
10014005081656-JUNE23,['0'],1,0,0
10014005081706-JUNE23,['0'],1,0,0
10014005081717-JUNE23,['0'],1,0,0
10014005081727-JUNE23,['0'],1,0,0
10014005081742-JUNE23,['0'],1,0,0
10014005081807-JUNE23,['0'],1,0,0
10014005081831-JUNE23,['0'],1,0,0
10014005081857-JUNE23,['0'],1,0,0
10014005081925-JUNE23,['0'],1,0,0
10014005081952-JUNE23,['0'],1,0,0
10014005092023-JUNE23,['0'],1,0,0
10014005092124-JUNE23,['0'],1,0,0
10014005092229-JUNE23,['0'],1,0,0
10014005092331-JUNE23,['0'],1,0,0
10014005092433-JUNE23,['0'],1,0,0
10014005100446-JUNE23,['0'],1,0,0
10014005102546-JUNE23,['0'],1,0,0
10014005102646-JUNE23,['0'],1,0,0
10014005102746-JUNE23,['0'],1,0,0
10016004300657-JUNE23,['0'],1,0,0
10016004300715-JUNE23,['0'],1,0,0
10016004300736-JUNE23,['0'],1,0,0
10016004301517-JUNE23,['0'],1,0,0
10016004301550-JUNE23,['0'],1,0,0
10016004301604-JUNE23,['0'],1,0,0
10016004301646-JUNE23,['0'],1,0,0
10016004301658-JUNE23,['0'],1,0,0
10016004301711-JUNE23,['0'],1,0,0
10016004301731-JUNE23,['0'],1,0,0
10016004301739-JUNE23,['0'],1,0,0
10016004301745-JUNE23,['0'],1,0,0
10016004301758-JUNE23,['0'],1,0,0
10016004301812-JUNE23,['0'],1,0,0
10016004301827-JUNE23,['0'],1,0,0
10016004301848-JUNE23,['0'],1,0,0
10016004301909-JUNE23,['0'],1,0,0
10016004301923-JUNE23,['0'],1,0,0
10016004302002-JUNE23,['0'],1,0,0
10016004302015-JUNE23,['0'],1,0,0
10016004302041-JUNE23,['0'],1,0,0
10016004302055-JUNE23,['0'],1,0,0
10016004302121-JUNE23,['0'],1,0,0
10016004302153-JUNE23,['0'],1,0,0
10016004302224-JUNE23,['0'],1,0,0
10016004302239-JUNE23,['0'],1,0,0
10016004302254-JUNE23,['0'],1,0,0
10016004302324-JUNE23,['0'],1,0,0
10016004302339-JUNE23,['0'],1,0,0
10016004302416-JUNE23,['0'],1,0,0
10016004302519-JUNE23,['0'],1,0,0
10016004302719-JUNE23,['0'],1,0,0
10016004310407-JUNE23,['0'],1,0,0
10016004310428-JUNE23,['0'],1,0,0
10016004310448-JUNE23,['0'],1,0,0
10016004310507-JUNE23,['0'],1,0,0
10016004310522-JUNE23,['0'],1,0,0
10016004310600-JUNE23,['0'],1,0,0
10016004310606-JUNE23,['0'],1,0,0
10016004310618-JUNE23,['0'],1,0,0
10016004310630-JUNE23,['0'],1,0,0
10016004310641-JUNE23,['0'],1,0,0
10016004311503-JUNE23,['0'],1,0,0
10016004311539-JUNE23,['0'],1,0,0
10016004312054-JUNE23,['0'],1,0,0
10016004330413-JUNE23,['0'],1,0,0
10016004330428-JUNE23,['0'],1,0,0
10016004330443-JUNE23,['0'],1,0,0
10016004330458-JUNE23,['0'],1,0,0
10016004330510-JUNE23,['0'],1,0,0
10016004330520-JUNE23,['0'],1,0,0
10016004330529-JUNE23,['0'],1,0,0
10016004330535-JUNE23,['0'],1,0,0
10016004330541-JUNE23,['0'],1,0,0
10016004330547-JUNE23,['0'],1,0,0
10016004330553-JUNE23,['0'],1,0,0
10016004330559-JUNE23,['0'],1,0,0
10016004330605-JUNE23,['0'],1,0,0
10016004330611-JUNE23,['0'],1,0,0
10016004330617-JUNE23,['0'],1,0,0
10016004330623-JUNE23,['0'],1,0,0
10016004330629-JUNE23,['0'],1,0,0
10016004330633-JUNE23,['0'],1,0,0
10016004330637-JUNE23,['0'],1,0,0
10016004330641-JUNE23,['0'],1,0,0
10016004330646-JUNE23,['0'],1,0,0
10016004330650-JUNE23,['0'],1,0,0
10016004330655-JUNE23,['0'],1,0,0
10016004330702-JUNE23,['0'],1,0,0
10016004330707-JUNE23,['0'],1,0,0
10016004330711-JUNE23,['0'],1,0,0
10016004330720-JUNE23,['0'],1,0,0
10016004330725-JUNE23,['0'],1,0,0
10016004330730-JUNE23,['0'],1,0,0
10016004330742-JUNE23,['0'],1,0,0
10016004330748-JUNE23,['0'],1,0,0
10016004330753-JUNE23,['0'],1,0,0
10016004330759-JUNE23,['0'],1,0,0
10016004330805-JUNE23,['0'],1,0,0
10016004330812-JUNE23,['0'],1,0,0
10016004330819-JUNE23,['0'],1,0,0
10016004330825-JUNE23,['0'],1,0,0
10016004330832-JUNE23,['0'],1,0,0
10016004330839-JUNE23,['0'],1,0,0
10016004330846-JUNE23,['0'],1,0,0
10016004330853-JUNE23,['0'],1,0,0
10016004330901-JUNE23,['0'],1,0,0
10016004330908-JUNE23,['0'],1,0,0
10016004330916-JUNE23,['0'],1,0,0
10016004330923-JUNE23,['0'],1,0,0
10016004330931-JUNE23,['0'],1,0,0
10016004330937-JUNE23,['0'],1,0,0
10016004330945-JUNE23,['0'],1,0,0
10016004330952-JUNE23,['0'],1,0,0
10016004331000-JUNE23,['0'],1,0,0
10016004331007-JUNE23,['0'],1,0,0
10016004331014-JUNE23,['0'],1,0,0
10016004331021-JUNE23,['0'],1,0,0
10016004331029-JUNE23,['0'],1,0,0
10016004331036-JUNE23,['0'],1,0,0
10016004331044-JUNE23,['0'],1,0,0
10016004331051-JUNE23,['0'],1,0,0
10016004331059-JUNE23,['0'],1,0,0
10016004331106-JUNE23,['0'],1,0,0
10016004331114-JUNE23,['0'],1,0,0
10016004331120-JUNE23,['0'],1,0,0
10016004331128-JUNE23,['0'],1,0,0
10016004331135-JUNE23,['0'],1,0,0
10016004331142-JUNE23,['0'],1,0,0
10016004331149-JUNE23,['0'],1,0,0
10016004331156-JUNE23,['0'],1,0,0
10016004331203-JUNE23,['0'],1,0,0
10016004331210-JUNE23,['0'],1,0,0
10016004331217-JUNE23,['0'],1,0,0
10016004331224-JUNE23,['0'],1,0,0
10016004331231-JUNE23,['0'],1,0,0
10016004331239-JUNE23,['0'],1,0,0
10016004331246-JUNE23,['0'],1,0,0
10016004331254-JUNE23,['0'],1,0,0
10016004331300-JUNE23,['0'],1,0,0
10016004331308-JUNE23,['0'],1,0,0
10016004331315-JUNE23,['0'],1,0,0
10016004331322-JUNE23,['0'],1,0,0
10016004331329-JUNE23,['0'],1,0,0
10016004331336-JUNE23,['0'],1,0,0
