route_id,direction_id,route_code,shape_id_counts,shape_ids_list,count_of_different_stop_ids,different_stop_ids,stop_names_list
152-13168,1,152,3,"1520151_JUNE23,1520163_JUNE23,1520168_JUNE23",0,[],
158-13168,1,158,2,"1580041_JUNE23,1580053_JUNE23",0,[],
16-13168,0,16,2,"160430_JUNE23,160433_JUNE23",0,[],
16-13168,1,16,3,"160431_JUNE23,160434_JUNE23,160435_JUNE23",0,[],
161-13168,0,161,2,"1610095_JUNE23,1610099_JUNE23",0,[],
162-13168,0,162,2,"1620006_JUNE23,1620007_JUNE23",3,"[11681, 6223, 24247]","Sherman Way / Royer, West Hills Medical Center, Medical Center Dr / Community Medical Center"
162-13168,1,162,3,"1620001_JUNE23,1620002_JUNE23,1620005_JUNE23",11,"[10410, 10411, 10412, 10413, 10416, 10417, 1875, 10421, 10423, 10425, 10426]","Fallbrook / Ventura, Fallbrook / Burbank, Fallbrook / Criswell, Fallbrook / Erwin, Fallbrook / Hatteras, Fallbrook / Marlin Pl, Fallbrook / Oxnard, Fallbrook / Sherman Way, Fallbrook / Vanowen, Fallbrook / Ventura, Fallbrook / Victory"
164-13168,0,164,2,"1640062_JUNE23,1640065_JUNE23",0,[],
165-13168,0,165,3,"1650155_JUNE23,1650199_JUNE23,1650201_JUNE23",0,[],
165-13168,1,165,4,"1650200_JUNE23,1650207_JUNE23,1650208_JUNE23,1650209_JUNE23",0,[],
166-13168,0,166,5,"1660033_JUNE23,1660120_JUNE23,1660122_JUNE23,1660123_JUNE23,1660124_JUNE23",4,"[9625, 1835, 4142, 10775]","Branford / Glenoaks, Glenoaks / Osborne Pl, Division 15 Layover, Glenoaks / Montague"
166-13168,1,166,2,"1660086_JUNE23,1660121_JUNE23",4,"[9625, 1842, 12623, 2239]","Branford / Glenoaks, Glenoaks / Montague, Division 15 Layover, Glenoaks / Osborne Pl"
167-13168,0,167,2,"1670101_JUNE23,1670102_JUNE23",0,[],
167-13168,1,167,2,"1670100_JUNE23,1670103_JUNE23",0,[],
169-13168,0,169,4,"1690114_JUNE23,1690125_JUNE23,1690148_JUNE23,1690149_JUNE23",0,[],
169-13168,1,169,5,"1690117_JUNE23,1690143_JUNE23,1690144_JUNE23,1690145_JUNE23,1690146_JUNE23",0,[],
179-13168,0,179,2,"1790001_JUNE23,1790012_JUNE23",1,[5803],The Shops At Santa Anita
179-13168,1,179,2,"1790006_JUNE23,1790007_JUNE23",1,[16040],Huntington / La Cadena
18-13168,0,18,7,"180329_JUNE23,180330_JUNE23,180331_JUNE23,180332_JUNE23,180333_JUNE23,180334_JUNE23,180335_JUNE23",0,[],
18-13168,1,18,7,"180325_JUNE23,180326_JUNE23,180327_JUNE23,180328_JUNE23,180336_JUNE23,180337_JUNE23,180339_JUNE23",25,"[5775, 16917, 42, 956, 15688, 15690, 15694, 15704, 15705, 15706, 15708, 15711, 15712, 15716, 15717, 15719, 15720, 15721, 15722, 15726, 15729, 15730, 15732, 15733, 15736]","6th / Burlington, 6th / Oxford Terminal, Western / Wilshire, 5th / Grand, 5th / Flower, 5th / Hill, 6th / Lucas, 6th / Alexandria, 6th / Alvarado, 6th / Bonnie Brae, 6th / Catalina, 6th / Commonwealth, 6th / Grand View, 6th / Harvard, 6th / Lafayette Park, 6th / Normandie, 6th / Park View, 6th / Rampart, 6th / Vermont, 6th / Westmoreland, 6th / Saint Paul, 6th / Valencia, 6th / Witmer, 6th / Virgil, 6th / Bixel"
180-13168,0,180,4,"1800243_JUNE23,1800244_JUNE23,1800245_JUNE23,1800246_JUNE23",4,"[3401, 142411, 1318, 1319]","Colorado / Catalina, Colorado / Chester, Brand / Harvard, Colorado / Hill Layover"
180-13168,1,180,3,"1800250_JUNE23,1800251_JUNE23,1800252_JUNE23",1,[9863],Colorado / Mentor
182-13168,0,182,3,"1820017_JUNE23,1820032_JUNE23,1820034_JUNE23",0,[],
182-13168,1,182,2,"1820016_JUNE23,1820035_JUNE23",0,[],
2-13168,0,2,5,"21120_JUNE23,21121_JUNE23,21122_JUNE23,21123_JUNE23,21126_JUNE23",40,"[6402, 6403, 6404, 6407, 2441, 2442, 2443, 6413, 6414, 6415, 8078, 8080, 2452, 6422, 6423, 6425, 6430, 6431, 6432, 11426, 6434, 14762, 16325, 8006, 14790, 8014, 8034, 10984, 8041, 8042, 8047, 8049, 6386, 8050, 8052, 8055, 8056, 2938, 2939, 8062]","Hilgard / Charing Cross, Hilgard / Le Conte, Hilgard / Manning, Hilgard / Wyton, Le Conte / Tiverton, Le Conte / Westwood, Sunset / La Cienega, Sunset / Rodeo, Sunset / Charing Cross, Sunset / Copley, Sunset / Fairfax, Sunset / Alpine, Sunset / Alta, Sunset / Bedford, Sunset / Hillcrest, Sunset / Maple, Sunset / Rexford, Sunset / Beverly Glen, Sunset / Carolwood, Sunset / Beverly Glen, Sunset / Whittier, Sunset / Cory, Sunset / Hammond, Sunset / Crescent Heights, Sunset / Poinsettia, Sunset / Gardner, Sunset / Kings, Sunset / La Brea, Sunset / Martel, Sunset / Orange, Sunset / Stanley, Sunset / Sweetzer, Sunset / Horn, Sunset / San Vicente, Sunset / Sunset Plaza, Hilgard / Westholme, Le Conte / Broxton, Sunset / Beverly, Sunset / Foothill, Sunset / Doheny Drive"
2-13168,1,2,3,"21124_JUNE23,21131_JUNE23,21132_JUNE23",1,[2459],Hill / Martin Luther King Jr
20-13168,0,20,6,"200789_JUNE23,200792_JUNE23,200797_JUNE23,200799_JUNE23,200810_JUNE23,200811_JUNE23",3,"[2928, 16770, 20004]","Federal Bldg Rdway, Veteran Federal Building, Wilshire / Veteran"
20-13168,1,20,5,"200801_JUNE23,200803_JUNE23,200805_JUNE23,200808_JUNE23,200809_JUNE23",1,[16770],Veteran Federal Building
205-13168,0,205,2,"2050088_JUNE23,2050099_JUNE23",0,[],
205-13168,0,205,2,"2050088_JUNE23,2050099_JUNE23",0,[],
206-13168,0,206,2,"2060179_JUNE23,2060180_JUNE23",0,[],
